主订单编号,支付方式,选购商品,商品ID,商品数量,商品金额,订单提交时间,支付完成时间,订单完成时间,订单状态,取消原因,售后状态,订单类型,订单应付金额,优惠总金额,平台优惠
"	6925243562750476237","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:07:57","	2026-03-31 10:07:58",,已发货,,-,普通订单,8.99,6.00,平台专属限时优惠券-6.00
"	6925248538023788144","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:07:52","	2026-03-31 10:07:57",,已发货,,-,普通订单,14.99,0.00,-
"	6925241349507677435","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:07:49","	2026-03-31 10:08:21",,已发货,,-,普通订单,12.99,0.00,-
"	6951716048048953214","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:07:44","	2026-03-31 10:07:46",,已发货,,-,普通订单,12.99,0.00,-
"	6951713449614120223","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:07:42","	2026-03-31 10:08:00",,已发货,,-,普通订单,14.99,0.00,-
"	6951706711255487834","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:05:08","	2026-03-31 10:05:10",,已发货,,-,普通订单,14.99,0.00,-
"	6951716078332483425","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:04:39","	2026-03-31 10:04:47",,已发货,,-,普通订单,14.99,1.50,-
"	6925241303725145718","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:03:49","	2026-03-31 10:03:58",,已发货,,-,普通订单,12.99,2.00,平台番茄畅听惊喜券-2.00
"	6925248476028828776","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",2,12.99,"	2026-03-31 10:03:35",,,已关闭,你已取消订单：收货地址选择/填写有误,-,普通订单,25.98,0.00,-
"	6951698150596351331","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:02:54","	2026-03-31 10:03:12",,已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,14.99,0.00,-
"	6925252667112782957","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:02:52","	2026-03-31 10:03:00",,已发货,,-,普通订单,14.99,0.00,-
"	6951698184463193240","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:02:11","	2026-03-31 10:02:13",,已发货,,-,普通订单,14.99,0.00,-
"	6925258497270054126","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:02:10","	2026-03-31 10:02:11",,已发货,,-,普通订单,12.99,2.00,平台番茄小说惊喜券-2.00
"	6951693471111583426","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:02:09","	2026-03-31 10:02:21",,已发货,,-,普通订单,14.99,0.00,-
"	6925258506362912490","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:01:57","	2026-03-31 10:01:59",,已发货,,-,普通订单,14.99,0.00,-
"	6951713450522448977","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:01:44","	2026-03-31 10:01:45",,已发货,,-,普通订单,12.99,2.00,平台签到领现金券-2.00
"	6951713450522448977","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:01:44","	2026-03-31 10:01:45",,已发货,,-,普通订单,12.99,2.00,平台签到领现金券-2.00
"	6951722335846405236","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:01:40","	2026-03-31 10:01:52",,已发货,,-,普通订单,14.99,0.00,-
"	6925255177337732477","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:01:37","	2026-03-31 10:01:47",,已发货,,-,普通订单,14.99,0.00,-
"	6951708926236693919","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:01:33","	2026-03-31 10:01:34","	2026-04-01 23:55:24",已完成,,-,普通订单,14.99,0.00,-
"	6951702478456297150","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:01:15","	2026-03-31 10:02:21",,已发货,,-,普通订单,5.29,7.70,平台专属限时优惠券-5.19;金币抵扣金额-2.51
